,BBP (Win32),BBP (Win64),BBP (Linux64),Chudnovsky (Win32),Chudnovsky (Win64),Chudnovsky (Linux64)
100,"7,754","7,484","16,286","7,164","7,871","10,938"
200,"20,586","21,031","58,725","17,309","21,756","28,429"
300,"41,264","33,162","95,223","34,344","33,523","53,613"
400,"65,130","55,343","187,700","55,580","57,754","91,064"
500,"94,872","76,797","262,502","83,616","80,299","139,649"
600,"131,684","102,521","351,103","125,950","111,378","202,778"
700,"191,044","147,991","473,314","181,776","154,750","294,278"
800,"250,981","169,518","662,535","266,125","219,252","405,591"
900,"288,927","246,251","883,353","350,806","290,195","543,522"
1000,"372,672","269,337","991,877","499,381","361,305","734,930"
1000,"404,584","264,679","957,169","476,158","362,095","693,928"
2000,"1,536,090","1,028,315","3,835,619","2,845,198","2,244,991","5,300,458"
3000,"3,319,606","2,349,286","8,997,480","7,834,726","5,923,446","15,643,424"
4000,"5,972,275","4,114,506","16,706,767","16,308,487","11,421,164","32,551,929"
5000,"9,085,848","6,363,145","25,865,970","27,491,713","20,910,721","57,388,855"
6000,"13,522,433","9,301,199","38,168,647","44,401,660","34,443,463","89,892,785"
7000,"18,548,932","12,723,655","51,442,814","62,919,455","43,173,294","137,802,230"
8000,"25,349,662","16,473,944","66,660,829","92,911,748","61,642,705","203,325,202"
9000,"31,451,722","21,276,712","86,309,895","121,050,273","77,097,048","275,631,610"
10000,"39,586,192","26,497,169","107,601,348","174,654,895","100,976,011","367,998,360"
